,Progress,Duration (in seconds),Finished,Q1,Q2,Q4,Unnamed: 22,Q8,Q10,Q11,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q3_Male,Q3_Non-binary / Other,Q3_Prefer not to say,Q5_Asian,"Q5_Asian,Other",Q5_Black or African American,"Q5_Black or African American,American Indian or Alaska Native","Q5_Black or African American,American Indian or Alaska Native,Other","Q5_Black or African American,Hispanic or Latino/a","Q5_Black or African American,Native Hawaiian or Pacific Islander",Q5_Hispanic or Latino/a,"Q5_Hispanic or Latino/a,American Indian or Alaska Native","Q5_Hispanic or Latino/a,Asian",Q5_Native Hawaiian or Pacific Islander,Q5_Other,Q5_White,"Q5_White,American Indian or Alaska Native","Q5_White,Asian","Q5_White,Black or African American","Q5_White,Black or African American,American Indian or Alaska Native","Q5_White,Black or African American,Hispanic or Latino/a","Q5_White,Hispanic or Latino/a","Q5_White,Hispanic or Latino/a,Asian,Native Hawaiian or Pacific Islander","Q5_White,Native Hawaiian or Pacific Islander",Q6_Buddhism,Q6_Catholic,Q6_Hinduism,Q6_Islam,Q6_Judaism,Q6_Other,Q6_Protestant / Other Christian Denomination,Q7_4 year degree,Q7_Doctorate,Q7_High school graduate / GED,Q7_Less than High School,Q7_Professional degree,Q7_Some college,Q9_Independent,Q9_Other third party,Q9_Republican,Q12_Kamala Harris,Q12_Other,Q20
0,100,104,True,5.0,2.0,0.0,,1.0,0.0,3.0,1.0,2.0,2.0,3.0,,Today was the best option for my schedule,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4.0
1,100,103,True,15.0,2.0,0.0,,1.0,4.0,1.0,3.0,0.0,2.0,3.0,,,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.0
2,100,99,True,9.0,3.0,0.0,,3.0,2.0,3.0,0.0,2.0,2.0,1.0,"Rhode Island Secretary of State's Website,Social Media,Friends/Family","I wanted to wait to learn more about the candidates,Today was the best option for my schedule,I did not feel like I had all the information necessary to vote early or by mail",4.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4.0
3,100,103,True,1.0,0.0,0.0,,3.0,3.0,3.0,0.0,1.0,3.0,2.0,Friends/Family,"I prefer voting on election day,I forgot to vote early or by mail",4.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.0
4,100,120,True,3.0,0.0,0.0,,0.0,2.0,3.0,1.0,2.0,3.0,2.0,"Rhode Island Secretary of State's Website,Social Media,Friends/Family","I prefer voting on election day,I forgot to vote early or by mail",4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3.0
5,100,105,True,1.0,0.0,0.0,,3.0,0.0,2.0,1.0,1.0,3.0,3.0,Friends/Family,I forgot to vote early or by mail,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4.0
6,100,143,True,8.0,3.0,0.0,,1.0,1.0,0.0,3.0,0.0,0.0,3.0,Social Media,I prefer voting on election day,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0
7,100,158,True,12.0,5.0,1.0,,3.0,4.0,1.0,3.0,1.0,3.0,3.0,Rhode Island Secretary of State's Website,I prefer voting on election day,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4.0
8,100,58,True,5.0,3.0,1.0,,2.0,3.0,3.0,1.0,2.0,3.0,3.0,,,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.0
9,100,160,True,6.0,1.0,0.0,,2.0,3.0,2.0,1.0,2.0,2.0,1.0,Social Media,I did not feel like I had all the information necessary to vote early or by mail,4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4.0
10,100,171,True,6.0,2.0,0.0,,2.0,2.0,2.0,3.0,2.0,2.0,1.0,Rhode Island Secretary of State's Website,I prefer voting on election day,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3.0
11,100,140,True,12.0,1.0,0.0,,2.0,3.0,3.0,2.0,2.0,2.0,2.0,Rhode Island Secretary of State's Website,I prefer voting on election day,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.0
12,100,93,True,8.0,4.0,1.0,,1.0,1.0,3.0,2.0,2.0,3.0,3.0,Social Media,I prefer voting on election day,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
13,100,70,True,1.0,3.0,0.0,,1.0,2.0,3.0,2.0,2.0,3.0,3.0,Rhode Island Secretary of State's Website,I prefer voting on election day,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1.0
14,100,145,True,15.0,2.0,0.0,,2.0,2.0,0.0,1.0,1.0,1.0,1.0,Social Media,"I prefer voting on election day,I do not trust mail-in voting,I wanted to wait to learn more about the candidates",4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.0
15,100,82,True,1.0,4.0,0.0,,4.0,1.0,3.0,2.0,2.0,3.0,3.0,Rhode Island Secretary of State's Website,I prefer voting on election day,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.0
16,100,112,True,9.0,3.0,0.0,,2.0,2.0,1.0,3.0,2.0,3.0,3.0,Rhode Island Secretary of State's Website,Today was the best option for my schedule,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4.0
17,100,54,True,5.0,4.0,0.0,,1.0,3.0,3.0,1.0,2.0,2.0,2.0,Rhode Island Secretary of State's Website,I prefer voting on election day,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4.0
