,Progress,Duration (in seconds),Finished,Q1,Q2,Q3,Q4,Q5,Q6,Unnamed: 22,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
0,100,104,True,5,30-39,Female,Not married,"Black or African American,American Indian or Alaska Native",Protestant / Other Christian Denomination,,4 year degree,"$30,000-$49,999",Democrat,Unsure,3.0,Kamala Harris,1.0,2.0,2.0,3.0,,Today was the best option for my schedule,4.0,4.0
1,100,103,True,15,30-39,Male,Not married,,,,4 year degree,"$30,000-$49,999",Democrat,Definitely Right,1.0,Kamala Harris,3.0,0.0,2.0,3.0,,,4.0,4.0
2,100,99,True,9,40-49,Male,Not married,Asian,,,Professional degree,"$100,000-$199,999",Independent,Definitely Wrong,3.0,Other,0.0,2.0,2.0,1.0,"Rhode Island Secretary of State's Website,Social Media,Friends/Family","I wanted to wait to learn more about the candidates,Today was the best option for my schedule,I did not feel like I had all the information necessary to vote early or by mail",4.0,4.0
3,100,103,True,1,18-24,Male,Not married,Asian,,,Some college,"$100,000-$199,999",Independent,Somewhat Right,3.0,Kamala Harris,0.0,1.0,3.0,2.0,Friends/Family,"I prefer voting on election day,I forgot to vote early or by mail",4.0,1.0
4,100,120,True,3,18-24,Female,Not married,Hispanic or Latino/a,,,Some college,"Less than $30,000",Democrat,Definitely Wrong,3.0,Kamala Harris,1.0,2.0,3.0,2.0,"Rhode Island Secretary of State's Website,Social Media,Friends/Family","I prefer voting on election day,I forgot to vote early or by mail",4.0,3.0
5,100,105,True,1,18-24,Male,Not married,White,,,Some college,"$100,000-$199,999",Independent,Unsure,2.0,Kamala Harris,1.0,1.0,3.0,3.0,Friends/Family,I forgot to vote early or by mail,4.0,4.0
6,100,143,True,8,40-49,Male,Not married,Native Hawaiian or Pacific Islander,Catholic,,2 year degree,"$30,000-$49,999",Independent,Somewhat Wrong,0.0,Kamala Harris,3.0,0.0,0.0,3.0,Social Media,I prefer voting on election day,1.0,3.0
7,100,158,True,12,65 or older,Male,Married,White,Protestant / Other Christian Denomination,,Professional degree,"$100,000-$199,999",Democrat,Definitely Right,1.0,Kamala Harris,3.0,1.0,3.0,3.0,Rhode Island Secretary of State's Website,I prefer voting on election day,4.0,4.0
8,100,58,True,5,40-49,Female,Married,Hispanic or Latino/a,Catholic,,Some college,"$50,000-$100,000",Democrat,Somewhat Right,3.0,Kamala Harris,1.0,2.0,3.0,3.0,,,4.0,4.0
9,100,160,True,6,25-29,Male,Not married,Hispanic or Latino/a,Protestant / Other Christian Denomination,,Professional degree,"$50,000-$100,000",Democrat,Somewhat Right,2.0,Kamala Harris,1.0,2.0,2.0,1.0,Social Media,I did not feel like I had all the information necessary to vote early or by mail,4.0,4.0
10,100,171,True,6,30-39,Male,Not married,"White,Black or African American",,,Some college,"$50,000-$100,000",Democrat,Definitely Wrong,2.0,Kamala Harris,3.0,2.0,2.0,1.0,Rhode Island Secretary of State's Website,I prefer voting on election day,4.0,3.0
11,100,140,True,12,25-29,Male,Not married,"White,Hispanic or Latino/a",Atheist,,4 year degree,"$50,000-$100,000",Democrat,Somewhat Right,3.0,Kamala Harris,2.0,2.0,2.0,2.0,Rhode Island Secretary of State's Website,I prefer voting on election day,4.0,4.0
12,100,93,True,8,50-64,Female,Married,Hispanic or Latino/a,,,High school graduate / GED,"$30,000-$49,999",Democrat,Somewhat Wrong,3.0,Kamala Harris,2.0,2.0,3.0,3.0,Social Media,I prefer voting on election day,0.0,4.0
13,100,70,True,1,40-49,Female,Not married,White,,,Professional degree,"$30,000-$49,999",Independent,Definitely Wrong,3.0,Kamala Harris,2.0,2.0,3.0,3.0,Rhode Island Secretary of State's Website,I prefer voting on election day,4.0,1.0
14,100,145,True,15,30-39,Female,Not married,Hispanic or Latino/a,,,4 year degree,"$50,000-$100,000",Democrat,Definitely Wrong,0.0,Kamala Harris,1.0,1.0,1.0,1.0,Social Media,"I prefer voting on election day,I do not trust mail-in voting,I wanted to wait to learn more about the candidates",4.0,3.0
15,100,82,True,1,50-64,Male,Not married,White,Catholic,,Doctorate,"$200,000 or more",Democrat,Somewhat Wrong,3.0,Kamala Harris,2.0,2.0,3.0,3.0,Rhode Island Secretary of State's Website,I prefer voting on election day,3.0,3.0
16,100,112,True,9,40-49,Male,Not married,White,,,4 year degree,"$50,000-$100,000",Independent,Definitely Wrong,1.0,Kamala Harris,3.0,2.0,3.0,3.0,Rhode Island Secretary of State's Website,Today was the best option for my schedule,4.0,4.0
17,100,54,True,5,50-64,Female,Not married,Hispanic or Latino/a,Other,,4 year degree,"$30,000-$49,999",Democrat,Somewhat Right,3.0,Kamala Harris,1.0,2.0,2.0,2.0,Rhode Island Secretary of State's Website,I prefer voting on election day,4.0,4.0
18,100,78,True,14,50-64,Male,Married,White,,,Some college,"$100,000-$199,999",Independent,Definitely Wrong,0.0,Donald Trump,1.0,2.0,2.0,1.0,Social Media,Today was the best option for my schedule,0.0,1.0
19,100,127,True,15,30-39,Female,Not married,American Indian or Alaska Native,Other,Maya,Some college,"$30,000-$49,999",Other third party,Definitely Wrong,0.0,Other,3.0,1.0,2.0,1.0,"Rhode Island Secretary of State's Website,Social Media,Religious/Community Organizations",I forgot to vote early or by mail,4.0,1.0
20,100,101,True,8,30-39,Male,Not married,Hispanic or Latino/a,Catholic,,Professional degree,"$50,000-$100,000",Independent,Somewhat Right,1.0,Kamala Harris,0.0,1.0,3.0,3.0,Rhode Island Secretary of State's Website,I prefer voting on election day,1.0,1.0
21,100,89,True,6,50-64,Female,Married,White,Catholic,,2 year degree,"$30,000-$49,999",Democrat,Unsure,3.0,Kamala Harris,1.0,2.0,3.0,2.0,The Voter Information Handbook sent to my house,I prefer voting on election day,3.0,1.0
22,100,78,True,8,40-49,Male,Not married,Black or African American,Catholic,,High school graduate / GED,"Less than $30,000",Democrat,Somewhat Wrong,3.0,Kamala Harris,3.0,2.0,2.0,2.0,Social Media,I prefer voting on election day,4.0,3.0
23,100,92,True,6,25-29,Male,Not married,White,,,Doctorate,"$100,000-$199,999",Independent,Unsure,2.0,Kamala Harris,0.0,2.0,3.0,3.0,Social Media,I prefer voting on election day,4.0,4.0
24,100,165,True,14,30-39,Female,Married,White,Catholic,,4 year degree,"$200,000 or more",Democrat,Somewhat Wrong,1.0,Kamala Harris,2.0,2.0,2.0,2.0,"Social Media,Friends/Family","I prefer voting on election day,I forgot to vote early or by mail,Today was the best option for my schedule",4.0,1.0
25,100,114,True,7,50-64,Female,Not married,Hispanic or Latino/a,Other,"""pentecostal"" spanish survey",2 year degree,"Less than $30,000",Republican,Unsure,2.0,Donald Trump,3.0,2.0,3.0,3.0,Religious/Community Organizations,I prefer voting on election day,4.0,4.0
