StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ResponseId,Q1,Q2,Q3,Q4,Q5,Q6,,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,key,Which ward is this survey from?,What is your age group?,What is your gender identity?,What is your marital status?,With what ethnicity or race(s) do you most identify? (Check all that apply),What is your religious affiliation? - Selected Choice,What is your religious affiliation? - Other - Text,What is your highest level of education?,What is your annual household income?,How would you describe your political affiliation?,"Overall, do you feel that the country is heading in the right direction or the wrong direction?","Overall, do you feel that Rhode Island is heading in the right direction or the wrong direction?",Who did you vote for President,Were you excited to vote for your presidential candidate?,How confident are you that your Rhode Island politicians care about you?,How confident are you in the ability of local voting officials to manage elections fairly and accurately?,How confident are you that the results of the national presidential election will accurately reflect the votes cast?,"Where do you primarily get your information about voting options, such as precinct locations, voting times, early voting, and mail-in ballot options? (Select all that apply)",Why did you choose to vote in-person on election day? (Select all that apply),"Would you support Rhode Island implementing same day voter registration, allowing unregistered voters to both register and vote on election day?",Would you support Rhode Island implementing ranked choice voting? This would allow voters to rank candidates in order of preference.
11/12/2024 18:19:16,11/12/2024 18:21:01,100,104,True,11/12/2024 18:21:02,R_7LvyIKEDwhcpXXd,,,,,40.7123,-74.0068,anonymous,EN,R_7LvyIKEDwhcpXXd,5,30-39,Female,Not married,"Black or African American,American Indian or Alaska Native",Protestant / Other Christian Denomination,,4 year degree,"$30,000-$49,999",Democrat,Unsure,Somewhat Right,Kamala Harris,Somewhat Excited,Somewhat Confident,Somewhat Confident,Very Confident,,Today was the best option for my schedule,Definitely,I would need more information to make a decision
11/12/2024 18:19:22,11/12/2024 18:21:06,100,103,True,11/12/2024 18:21:06,R_3obsi8B2j0maSsH,,,,,41.8244,-71.408,anonymous,EN,R_3obsi8B2j0maSsH,15,30-39,Male,Not married,,,,4 year degree,"$30,000-$49,999",Democrat,Definitely Right,Somewhat Wrong,Kamala Harris,Extremely Excited,Not at All Confident,Somewhat Confident,,,,Definitely,Definitely
11/12/2024 18:19:26,11/12/2024 18:21:06,100,99,True,11/12/2024 18:21:06,R_7S003rcKqMsxg0i,,,,,41.8244,-71.408,anonymous,EN,R_7S003rcKqMsxg0i,9,40-49,Male,Not married,Asian,None,,Professional degree,"$100,000-$199,999",Independent,Definitely Wrong,Somewhat Right,Other,Not Very Excited,Somewhat Confident,Somewhat Confident,Not Very Confident,"Rhode Island Secretary of State's Website,Social Media,Friends/Family","I wanted to wait to learn more about the candidates,Today was the best option for my schedule,I did not feel like I had all the information necessary to vote early or by mail",Definitely,Definitely
11/12/2024 18:19:30,11/12/2024 18:21:13,100,103,True,11/12/2024 18:21:14,R_6JRsucMt6YOLuvd,,,,,41.8244,-71.408,anonymous,EN,R_6JRsucMt6YOLuvd,1,18-24,Male,Not married,Asian,None,,Some college,"$100,000-$199,999",Independent,Somewhat Right,Somewhat Right,Kamala Harris,Not Very Excited,Not Very Confident,Very Confident,Somewhat Confident,Friends/Family,"I prefer voting on election day,I forgot to vote early or by mail",Definitely,Probably Not
11/12/2024 18:19:21,11/12/2024 18:21:22,100,120,True,11/12/2024 18:21:22,R_6EW5AGFFkqqmdXm,,,,,42.2796,-71.1282,anonymous,EN,R_6EW5AGFFkqqmdXm,3,18-24,Female,Not married,Hispanic or Latino/a,None,,Some college,"Less than $30,000",Democrat,Definitely Wrong,Somewhat Right,Kamala Harris,Somewhat Excited,Somewhat Confident,Very Confident,Somewhat Confident,"Rhode Island Secretary of State's Website,Social Media,Friends/Family","I prefer voting on election day,I forgot to vote early or by mail",Definitely,Probably
11/12/2024 18:19:37,11/12/2024 18:21:23,100,105,True,11/12/2024 18:21:23,R_5fIMeYtpF6FDkUF,,,,,41.8244,-71.408,anonymous,EN,R_5fIMeYtpF6FDkUF,1,18-24,Male,Not married,White,None,,Some college,"$100,000-$199,999",Independent,Unsure,Unsure,Kamala Harris,Somewhat Excited,Not Very Confident,Very Confident,Very Confident,Friends/Family,I forgot to vote early or by mail,Definitely,Definitely
11/12/2024 18:19:17,11/12/2024 18:21:41,100,143,True,11/12/2024 18:21:41,R_7a8W2prQo4vvtUl,,,,,41.8244,-71.408,anonymous,EN,R_7a8W2prQo4vvtUl,8,40-49,Male,Not married,Native Hawaiian or Pacific Islander,Catholic,,2 year degree,"$30,000-$49,999",Independent,Somewhat Wrong,Definitely Wrong,Kamala Harris,Extremely Excited,Not at All Confident,Not at All Confident,Very Confident,Social Media,I prefer voting on election day,Probably Not,Probably
11/12/2024 18:19:21,11/12/2024 18:22:00,100,158,True,11/12/2024 18:22:00,R_3Eu9ZTjvBw8Gxby,,,,,41.8244,-71.408,anonymous,EN,R_3Eu9ZTjvBw8Gxby,12,65 or older,Male,Married,White,Protestant / Other Christian Denomination,,Professional degree,"$100,000-$199,999",Democrat,Definitely Right,Somewhat Wrong,Kamala Harris,Extremely Excited,Not Very Confident,Very Confident,Very Confident,Rhode Island Secretary of State's Website,I prefer voting on election day,Definitely,Definitely
11/12/2024 18:21:05,11/12/2024 18:22:03,100,58,True,11/12/2024 18:22:03,R_5cd2mSJsa8lEjAf,,,,,40.7123,-74.0068,anonymous,EN,R_5cd2mSJsa8lEjAf,5,40-49,Female,Married,Hispanic or Latino/a,Catholic,,Some college,"$50,000-$100,000",Democrat,Somewhat Right,,Kamala Harris,Somewhat Excited,Somewhat Confident,Very Confident,Very Confident,,,,
